,Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Type_of_Item,Years_of_Operation,ItemType_Breads,ItemType_Breakfast,ItemType_Canned,ItemType_Dairy,ItemType_Frozen Foods,ItemType_Fruits and Vegetables,ItemType_Hard Drinks,ItemType_Health and Hygiene,ItemType_Household,ItemType_Meat,ItemType_Others,ItemType_Seafood,ItemType_Snack Foods,ItemType_Soft Drinks,ItemType_Starchy Foods
642,FDL34,16.0,1,0.041177505,142.3496,OUT017,2007-01-01,,Tier 2,Supermarket Type1,3246.4408,Food,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
643,DRG39,14.15,1,0.042352822,51.6982,OUT018,2009-01-01,Medium,Tier 3,Supermarket Type2,1262.3568,Drinks,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
644,NCG43,20.2,1,0.074541867,94.1462,OUT018,2009-01-01,Medium,Tier 3,Supermarket Type2,1758.3778,Non-Consumables,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
645,FDT01,13.65,2,0.18454121,211.5902,OUT045,2002-01-01,,Tier 2,Supermarket Type1,4672.5844,Food,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
646,NCR38,17.25,1,0.114160573,253.1724,OUT017,2007-01-01,,Tier 2,Supermarket Type1,3775.086,Non-Consumables,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
647,DRF01,5.655,1,0.175352413,147.4102,OUT049,1999-01-01,Medium,Tier 1,Supermarket Type1,2478.7734,Drinks,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
648,FDF53,20.75,2,0.083590755,182.2318,OUT035,2004-01-01,Small,Tier 2,Supermarket Type1,3067.3406,Food,19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
649,FDS45,5.175,2,0.029471408,105.4622,OUT013,1987-01-01,High,Tier 3,Supermarket Type1,3281.7282,Food,36,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
650,FDR20,20.0,2,0.028282832,46.2744,OUT017,2007-01-01,,Tier 2,Supermarket Type1,1086.5856,Food,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
651,FDY07,11.8,1,0.0,46.5402,OUT010,1998-01-01,,Tier 3,Grocery Store,229.701,Food,25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
652,FDD38,16.75,2,0.008208342,102.8674,OUT045,2002-01-01,,Tier 2,Supermarket Type1,1528.011,Food,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
653,DRF15,18.35,1,0.03334929,155.034,OUT018,2009-01-01,Medium,Tier 3,Supermarket Type2,1990.742,Drinks,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
654,FDH32,12.8,1,0.076060037,95.141,OUT046,1997-01-01,Small,Tier 1,Supermarket Type1,868.869,Food,26,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
655,NCJ42,19.75,1,0.014301326,103.0332,OUT046,1997-01-01,Small,Tier 1,Supermarket Type1,1230.3984,Non-Consumables,26,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
656,FDB56,8.75,2,0.074931201,187.6556,OUT018,2009-01-01,Medium,Tier 3,Supermarket Type2,938.778,Food,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
657,FDD03,13.3,1,0.080131363,234.03,OUT018,2009-01-01,Medium,Tier 3,Supermarket Type2,4194.54,Food,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
658,NCL18,18.85,1,0.167444431,194.6136,OUT013,1987-01-01,High,Tier 3,Supermarket Type1,1166.4816,Non-Consumables,36,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
659,FDW22,9.695,2,0.03033748,222.9114,OUT049,1999-01-01,Medium,Tier 1,Supermarket Type1,5764.4964,Food,24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
660,FDE32,20.7,1,0.04874969,37.5506,OUT035,2004-01-01,Small,Tier 2,Supermarket Type1,113.8518,Food,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
661,FDA34,,1,0.014788594,174.408,OUT027,1985-01-01,Medium,Tier 3,Supermarket Type3,7443.644,Food,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
662,FDJ08,11.1,1,0.111298111,191.7846,OUT017,2007-01-01,,Tier 2,Supermarket Type1,3057.3536,Food,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
663,FDG38,8.975,2,0.05268526,83.3224,OUT013,1987-01-01,High,Tier 3,Supermarket Type1,3579.3408,Food,36,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
664,FDD29,12.15,1,0.018485511,253.1698,OUT018,2009-01-01,Medium,Tier 3,Supermarket Type2,1522.0188,Food,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
665,NCE31,7.67,1,0.184689756,35.4216,OUT013,1987-01-01,High,Tier 3,Supermarket Type1,450.0808,Non-Consumables,36,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
666,FDS19,13.8,2,0.064153845,76.9012,OUT013,1987-01-01,High,Tier 3,Supermarket Type1,607.2096,Food,36,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
667,FDU11,4.785,1,0.092516598,120.1098,OUT013,1987-01-01,High,Tier 3,Supermarket Type1,1325.6078,Food,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
668,FDL02,20.0,2,0.104245198,105.3622,OUT049,1999-01-01,Medium,Tier 1,Supermarket Type1,1270.3464,Food,24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
669,FDO51,,2,0.041779181,43.4112,OUT027,1985-01-01,Medium,Tier 3,Supermarket Type3,1107.8912,Food,38,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
670,DRK23,8.395,1,0.07226985,254.104,OUT018,2009-01-01,Medium,Tier 3,Supermarket Type2,3542.056,Drinks,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
671,FDO27,6.175,2,0.179806961,95.2752,OUT018,2009-01-01,Medium,Tier 3,Supermarket Type2,1534.0032,Food,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
672,FDB16,8.21,1,0.044995631,89.2198,OUT049,1999-01-01,Medium,Tier 1,Supermarket Type1,1308.297,Food,24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
673,FDA44,19.7,1,0.053523765,55.393,OUT017,2007-01-01,,Tier 2,Supermarket Type1,1471.418,Food,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
674,NCB18,19.6,1,0.041459372,89.6514,OUT018,2009-01-01,Medium,Tier 3,Supermarket Type2,1239.7196,Non-Consumables,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
675,NCL53,7.5,1,0.036234918,175.3028,OUT046,1997-01-01,Small,Tier 1,Supermarket Type1,3896.2616,Non-Consumables,26,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
676,FDR16,5.845,2,0.105445801,214.4218,OUT018,2009-01-01,Medium,Tier 3,Supermarket Type2,1496.0526,Food,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
677,NCQ05,11.395,1,0.0,151.6708,OUT013,1987-01-01,High,Tier 3,Supermarket Type1,3460.8284,Non-Consumables,36,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
678,FDF44,7.17,2,0.05997133,132.1968,OUT018,2009-01-01,Medium,Tier 3,Supermarket Type2,2870.9296,Food,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
679,FDU50,5.75,2,0.075595405,114.7176,OUT017,2007-01-01,,Tier 2,Supermarket Type1,1259.6936,Food,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
680,FDG20,15.5,2,0.210375806,178.2028,OUT010,1998-01-01,,Tier 3,Grocery Store,177.1028,Food,25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
681,FDD58,7.76,1,0.059341019,99.77,OUT035,2004-01-01,Small,Tier 2,Supermarket Type1,798.96,Food,19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
682,FDT01,13.65,2,0.18520944,212.9902,OUT017,2007-01-01,,Tier 2,Supermarket Type1,3185.853,Food,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
683,FDK15,10.8,1,0.098566832,98.3042,OUT049,1999-01-01,Medium,Tier 1,Supermarket Type1,1488.063,Food,24,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
684,FDJ08,11.1,1,0.11084417,189.2846,OUT049,1999-01-01,Medium,Tier 1,Supermarket Type1,5159.2842,Food,24,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
685,FDS10,,1,0.0350152,182.0318,OUT027,1985-01-01,Medium,Tier 3,Supermarket Type3,5954.2494,Food,38,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
686,FDJ55,12.8,2,0.023567538,226.8404,OUT049,1999-01-01,Medium,Tier 1,Supermarket Type1,4500.808,Food,24,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
687,FDU32,8.785,1,0.0,123.0414,OUT010,1998-01-01,,Tier 3,Grocery Store,121.8414,Food,25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
688,FDG09,20.6,2,0.04792722,185.9556,OUT035,2004-01-01,Small,Tier 2,Supermarket Type1,4318.3788,Food,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
689,FDE39,7.89,1,0.036207786,121.0782,OUT045,2002-01-01,,Tier 2,Supermarket Type1,3456.1678,Food,21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
690,FDU56,16.85,1,0.044377096,185.8266,OUT013,1987-01-01,High,Tier 3,Supermarket Type1,1659.8394,Food,36,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
691,NCH55,16.35,1,0.034742632,127.402,OUT045,2002-01-01,,Tier 2,Supermarket Type1,759.012,Non-Consumables,21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
692,FDX33,,2,0.116915909,159.4578,OUT027,1985-01-01,Medium,Tier 3,Supermarket Type3,4974.1918,Food,38,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
693,FDR24,17.35,2,0.062979148,87.983,OUT045,2002-01-01,,Tier 2,Supermarket Type1,1707.777,Food,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
694,FDC33,,2,0.068604503,197.3768,OUT027,1985-01-01,Medium,Tier 3,Supermarket Type3,7488.9184,Food,38,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
695,NCV54,,1,0.03294861,116.8124,OUT027,1985-01-01,Medium,Tier 3,Supermarket Type3,2488.7604,Non-Consumables,38,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
696,NCQ02,12.6,1,0.007450258,186.7556,OUT013,1987-01-01,High,Tier 3,Supermarket Type1,2816.334,Non-Consumables,36,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
697,NCU17,5.32,1,0.093027718,101.4674,OUT049,1999-01-01,Medium,Tier 1,Supermarket Type1,2954.1546,Non-Consumables,24,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
698,NCZ06,,1,0.164864915,255.2698,OUT019,1985-01-01,Small,Tier 1,Grocery Store,761.0094,Non-Consumables,38,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
699,FDV37,13.0,2,0.083498083,199.4426,OUT035,2004-01-01,Small,Tier 2,Supermarket Type1,593.2278,Food,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
700,DRH25,,1,0.014522363,50.2324,OUT027,1985-01-01,Medium,Tier 3,Supermarket Type3,1298.31,Drinks,38,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
701,NCI43,19.85,1,0.025963795,46.3376,OUT035,2004-01-01,Small,Tier 2,Supermarket Type1,1150.5024,Non-Consumables,19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
702,NCQ53,17.6,1,0.019012262,237.159,OUT017,2007-01-01,,Tier 2,Supermarket Type1,3072.667,Non-Consumables,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
703,NCT18,14.6,1,0.059393919,181.7976,OUT035,2004-01-01,Small,Tier 2,Supermarket Type1,3259.7568,Non-Consumables,19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
704,FDF14,7.55,1,0.027212058,152.734,OUT049,1999-01-01,Medium,Tier 1,Supermarket Type1,2756.412,Food,24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
705,FDM14,13.8,1,0.013263968,106.9254,OUT046,1997-01-01,Small,Tier 1,Supermarket Type1,2930.1858,Food,26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
706,FDX57,17.25,2,0.079113947,99.2068,OUT010,1998-01-01,,Tier 3,Grocery Store,97.2068,Food,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
707,NCV05,10.1,1,0.03020851,153.1656,OUT046,1997-01-01,Small,Tier 1,Supermarket Type1,1544.656,Non-Consumables,26,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
708,FDX39,14.3,2,0.049634817,212.5586,OUT013,1987-01-01,High,Tier 3,Supermarket Type1,3165.879,Food,36,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
709,FDA23,9.8,1,0.047187038,100.6016,OUT046,1997-01-01,Small,Tier 1,Supermarket Type1,1619.2256,Food,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
710,NCV06,11.3,1,0.066681333,194.4478,OUT046,1997-01-01,Small,Tier 1,Supermarket Type1,387.4956,Non-Consumables,26,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
711,NCE31,7.67,1,0.185218446,36.3216,OUT045,2002-01-01,,Tier 2,Supermarket Type1,415.4592,Non-Consumables,21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
712,DRI39,13.8,1,0.162462044,55.893,OUT010,1998-01-01,,Tier 3,Grocery Store,226.372,Drinks,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
713,FDH21,10.395,1,0.031273559,160.0604,OUT049,1999-01-01,Medium,Tier 1,Supermarket Type1,1267.6832,Food,24,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
714,FDR26,20.7,1,0.042836778,175.8028,OUT046,1997-01-01,Small,Tier 1,Supermarket Type1,1593.9252,Food,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
715,FDA14,,1,0.114127418,147.176,OUT019,1985-01-01,Small,Tier 1,Grocery Store,585.904,Food,38,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
716,FDG21,17.35,2,0.146895866,149.605,OUT018,2009-01-01,Medium,Tier 3,Supermarket Type2,3745.125,Food,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
717,NCQ38,16.35,1,0.013420879,104.828,OUT018,2009-01-01,Medium,Tier 3,Supermarket Type2,1810.976,Non-Consumables,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
718,FDN20,19.35,1,0.026181893,167.0474,OUT046,1997-01-01,Small,Tier 1,Supermarket Type1,2358.2636,Food,26,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
719,NCN29,15.2,1,0.012184999,50.3034,OUT017,2007-01-01,,Tier 2,Supermarket Type1,145.8102,Non-Consumables,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
720,FDI28,14.3,1,0.026428924,78.2302,OUT018,2009-01-01,Medium,Tier 3,Supermarket Type2,554.6114,Food,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
721,FDA03,,2,0.045243613,146.8102,OUT027,1985-01-01,Medium,Tier 3,Supermarket Type3,3499.4448,Food,38,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
722,FDZ28,20.0,2,0.0,127.3678,OUT046,1997-01-01,Small,Tier 1,Supermarket Type1,1780.3492,Food,26,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
723,FDO52,,2,0.076790922,172.1106,OUT027,1985-01-01,Medium,Tier 3,Supermarket Type3,2566.659,Food,38,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
724,FDU10,10.1,2,0.045950475,38.2848,OUT017,2007-01-01,,Tier 2,Supermarket Type1,1230.3984,Food,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
725,FDP13,,2,0.133673087,41.548,OUT027,1985-01-01,Medium,Tier 3,Supermarket Type3,918.804,Food,38,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
726,FDV02,,1,0.060252433,170.7106,OUT027,1985-01-01,Medium,Tier 3,Supermarket Type3,3079.9908,Food,38,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
727,FDS28,8.18,2,0.082529704,56.9588,OUT049,1999-01-01,Medium,Tier 1,Supermarket Type1,744.3644,Food,24,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
728,FDW49,19.5,1,0.082552214,179.8002,OUT046,1997-01-01,Small,Tier 1,Supermarket Type1,716.4008,Food,26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
729,FDP33,18.7,1,0.089272253,254.7672,OUT046,1997-01-01,Small,Tier 1,Supermarket Type1,5113.344,Food,26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
730,FDJ03,12.35,2,0.072541731,48.5692,OUT045,2002-01-01,,Tier 2,Supermarket Type1,886.8456,Food,21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
731,FDQ51,16.0,2,0.017536671,45.5718,OUT013,1987-01-01,High,Tier 3,Supermarket Type1,1039.9796,Food,36,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
732,DRK23,8.395,1,0.072088552,253.704,OUT049,1999-01-01,Medium,Tier 1,Supermarket Type1,4554.072,Drinks,24,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
733,FDU11,4.785,1,0.092781435,119.7098,OUT045,2002-01-01,,Tier 2,Supermarket Type1,1807.647,Food,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
734,NCK06,5.03,1,0.008644894,122.6756,OUT035,2004-01-01,Small,Tier 2,Supermarket Type1,2665.8632,Non-Consumables,19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
735,FDY09,15.6,1,0.025342692,174.3054,OUT017,2007-01-01,,Tier 2,Supermarket Type1,1751.054,Food,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
736,NCY18,7.285,1,0.031145743,173.6054,OUT035,2004-01-01,Small,Tier 2,Supermarket Type1,2626.581,Non-Consumables,19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
737,FDA10,20.35,1,0.0,120.9072,OUT049,1999-01-01,Medium,Tier 1,Supermarket Type1,1470.0864,Food,24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
738,FDO34,17.7,1,0.030108283,165.9816,OUT017,2007-01-01,,Tier 2,Supermarket Type1,4362.3216,Food,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
739,FDE38,,1,0.044391149,164.3842,OUT027,1985-01-01,Medium,Tier 3,Supermarket Type3,4476.1734,Food,38,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
740,FDF40,20.25,2,0.022639471,248.4092,OUT017,2007-01-01,,Tier 2,Supermarket Type1,2241.0828,Food,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
741,FDY02,8.945,2,0.0,264.791,OUT017,2007-01-01,,Tier 2,Supermarket Type1,4733.838,Food,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
742,FDS03,,1,0.139419417,66.0826,OUT019,1985-01-01,Small,Tier 1,Grocery Store,258.3304,Food,38,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
743,FDB59,18.25,1,0.015278899,199.0084,OUT046,1997-01-01,Small,Tier 1,Supermarket Type1,3174.5344,Food,26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
744,NCQ42,20.35,1,0.039329257,127.6678,OUT049,1999-01-01,Medium,Tier 1,Supermarket Type1,2924.8594,Non-Consumables,24,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
745,FDO15,16.75,2,0.008579863,72.3038,OUT049,1999-01-01,Medium,Tier 1,Supermarket Type1,960.7494,Food,24,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
746,DRN47,12.1,1,0.028164527,178.166,OUT010,1998-01-01,,Tier 3,Grocery Store,539.298,Drinks,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
747,FDA03,18.5,2,0.0,144.2102,OUT035,2004-01-01,Small,Tier 2,Supermarket Type1,2041.3428,Food,19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
748,FDA01,15.0,2,0.054367971,58.5904,OUT035,2004-01-01,Small,Tier 2,Supermarket Type1,996.0368,Food,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
749,FDB38,19.5,2,0.0273467,158.992,OUT046,1997-01-01,Small,Tier 1,Supermarket Type1,1757.712,Food,26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
750,FDT59,13.65,1,0.016001434,230.6668,OUT017,2007-01-01,,Tier 2,Supermarket Type1,1842.9344,Food,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
751,FDG08,13.15,2,0.165328057,170.6764,OUT035,2004-01-01,Small,Tier 2,Supermarket Type1,3435.528,Food,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
752,FDV56,,2,0.013529884,106.2596,OUT027,1985-01-01,Medium,Tier 3,Supermarket Type3,1402.1748,Food,38,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
753,FDY26,20.6,2,0.030510526,211.4244,OUT046,1997-01-01,Small,Tier 1,Supermarket Type1,7833.8028,Food,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
754,DRE13,6.28,1,0.027699863,87.9198,OUT035,2004-01-01,Small,Tier 2,Supermarket Type1,1221.0772,Drinks,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
755,FDE51,5.925,2,0.09646733,42.8086,OUT046,1997-01-01,Small,Tier 1,Supermarket Type1,669.129,Food,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
756,FDL40,17.7,1,0.011636708,94.541,OUT045,2002-01-01,,Tier 2,Supermarket Type1,1061.951,Food,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
757,FDD50,18.85,1,0.141642219,168.1132,OUT046,1997-01-01,Small,Tier 1,Supermarket Type1,2874.9244,Food,26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
758,FDC04,,1,0.044767801,241.8854,OUT027,1985-01-01,Medium,Tier 3,Supermarket Type3,4592.0226,Food,38,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
759,FDN15,17.5,1,0.028009382,141.718,OUT010,1998-01-01,,Tier 3,Grocery Store,419.454,Food,25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
760,FDC46,17.7,1,0.1164455,182.8266,OUT013,1987-01-01,High,Tier 3,Supermarket Type1,5163.9448,Food,36,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
761,FDV56,16.1,2,0.013584408,107.7596,OUT013,1987-01-01,High,Tier 3,Supermarket Type1,323.5788,Food,36,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
762,FDK43,9.8,1,0.026950104,128.402,OUT018,2009-01-01,Medium,Tier 3,Supermarket Type2,1265.02,Food,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
763,NCR29,7.565,1,0.054751689,54.793,OUT045,2002-01-01,,Tier 2,Supermarket Type1,622.523,Non-Consumables,21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
764,FDY03,17.6,2,0.076121831,111.7202,OUT046,1997-01-01,Small,Tier 1,Supermarket Type1,1125.202,Food,26,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
765,FDU44,12.15,2,0.058516562,164.1552,OUT049,1999-01-01,Medium,Tier 1,Supermarket Type1,5198.5664,Food,24,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
766,FDZ04,9.31,1,0.037923509,61.651,OUT013,1987-01-01,High,Tier 3,Supermarket Type1,379.506,Food,36,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
767,FDU16,19.25,2,0.058365706,82.1908,OUT049,1999-01-01,Medium,Tier 1,Supermarket Type1,2432.8332,Food,24,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
768,FDV07,9.5,1,0.031346387,110.7228,OUT045,2002-01-01,,Tier 2,Supermarket Type1,1657.842,Food,21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
769,NCL19,15.35,1,0.015663185,143.947,OUT013,1987-01-01,High,Tier 3,Supermarket Type1,3006.087,Non-Consumables,36,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
770,FDW01,,1,0.063750302,153.4682,OUT027,1985-01-01,Medium,Tier 3,Supermarket Type3,2287.023,Food,38,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
771,FDC10,,2,0.07252476,120.3098,OUT027,1985-01-01,Medium,Tier 3,Supermarket Type3,1687.1372,Food,38,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
772,DRC12,17.85,1,0.038040837,189.1188,OUT017,2007-01-01,,Tier 2,Supermarket Type1,3237.1196,Drinks,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
773,DRK39,7.02,1,0.049823902,82.225,OUT013,1987-01-01,High,Tier 3,Supermarket Type1,2746.425,Drinks,36,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
774,FDG24,,1,0.014560297,81.425,OUT027,1985-01-01,Medium,Tier 3,Supermarket Type3,1331.6,Food,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
775,FDO04,,1,0.026408698,53.2614,OUT027,1985-01-01,Medium,Tier 3,Supermarket Type3,607.8754,Food,38,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
776,DRB25,12.3,1,0.069446588,106.3938,OUT035,2004-01-01,Small,Tier 2,Supermarket Type1,857.5504,Drinks,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
777,FDK26,5.46,2,0.03217132,184.824,OUT035,2004-01-01,Small,Tier 2,Supermarket Type1,4287.752,Food,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
778,FDM52,15.1,1,0.026046138,147.2076,OUT045,2002-01-01,,Tier 2,Supermarket Type1,1773.6912,Food,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
779,FDY07,11.8,1,0.121848436,46.8402,OUT045,2002-01-01,,Tier 2,Supermarket Type1,597.2226,Food,21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
780,NCO06,19.25,1,0.108470504,33.4558,OUT018,2009-01-01,Medium,Tier 3,Supermarket Type2,441.4254,Non-Consumables,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
781,FDO10,13.65,2,0.0,55.8588,OUT045,2002-01-01,,Tier 2,Supermarket Type1,1431.47,Food,21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
782,FDK34,13.35,1,0.038494623,240.2564,OUT013,1987-01-01,High,Tier 3,Supermarket Type1,2860.2768,Food,36,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
783,FDS33,,2,0.122830885,86.9514,OUT027,1985-01-01,Medium,Tier 3,Supermarket Type3,3364.9532,Food,38,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
784,FDO45,13.15,2,0.038029746,88.6856,OUT045,2002-01-01,,Tier 2,Supermarket Type1,1757.712,Food,21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
785,FDF08,14.3,2,0.065207559,89.8856,OUT046,1997-01-01,Small,Tier 1,Supermarket Type1,966.7416,Food,26,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
786,FDH58,12.3,1,0.037014587,115.1834,OUT045,2002-01-01,,Tier 2,Supermarket Type1,1958.1178,Food,21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
